date,put_volume,call_volume,put_amount,call_amount,put_oi,call_oi,volume_pcr,amount_pcr,oi_pcr
2023-08-17,1135773.0,1374772.0,464911428.0,416194018.0,1094411.0,1909962.0,0.8261537185802446,1.1170545656425077,0.5730014523849165
2023-08-18,924549.0,1201000.0,378997859.0,361176259.0,1091134.0,1912078.0,0.7698159866777685,1.0493432210891802,0.5706534984451471
2023-08-21,1203772.0,1498245.0,580275958.0,401553358.0,1038621.0,1959103.0,0.8034547086758174,1.4450780859862713,0.5301512988342114
2023-08-22,1347181.0,1642319.0,670665836.0,494450302.0,1010878.0,1932195.0,0.8202919164912541,1.3563867456187741,0.5231759734395338
2023-08-23,966584.0,1130271.0,547873699.0,359026623.0,925684.0,2001935.0,0.8551789792005634,1.525997416074629,0.4623946331923864
2023-08-24,592232.0,812997.0,288935598.0,361017058.0,827340.0,1243926.0,0.7284553325535027,0.8003378001047252,0.6651038727384104
2023-08-25,694896.0,800002.0,346654040.0,385025729.0,859928.0,1290038.0,0.8686178284554289,0.9003399354644167,0.6665912166928416
2023-08-28,1178131.0,2227200.0,591582290.0,1252760837.0,930822.0,1357118.0,0.528974048132184,0.4722228477517453,0.6858814045646731
2023-08-29,858852.0,997422.0,392237588.0,522350742.0,956221.0,1403676.0,0.8610718432118,0.7509084537684069,0.6812262943870238
2023-08-30,526072.0,685610.0,235219870.0,298714914.0,960434.0,1448008.0,0.7673050276396202,0.7874393241711393,0.6632794846437312
2023-08-31,546697.0,679166.0,240033745.0,260450922.0,958938.0,1492574.0,0.8049534281751443,0.9216083519950066,0.64247266802182
2023-09-01,532386.0,629998.0,196038629.0,274976476.0,970405.0,1460913.0,0.8450598255867479,0.7129287270377267,0.6642455779365369
2023-09-04,830342.0,1072779.0,273443486.0,560249963.0,1006122.0,1372362.0,0.774010304079405,0.4880740813185917,0.7331316372793767
2023-09-05,506399.0,572546.0,197577642.0,247629104.0,996895.0,1415557.0,0.8844686715128566,0.7978773044383345,0.7042422170212856
2023-09-06,503090.0,573272.0,195330664.0,235158793.0,1006574.0,1464642.0,0.8775764384096904,0.830633043774808,0.6872491707871276
2023-09-07,692378.0,822037.0,268885510.0,292253646.0,992971.0,1512787.0,0.8422710899874336,0.9200415929113849,0.6563852016179409
2023-09-08,626963.0,633683.0,237806025.0,212980520.0,990871.0,1579819.0,0.989395328579116,1.1165623269207907,0.6272053950484201
2023-09-11,629764.0,782525.0,224904759.0,293136747.0,1027208.0,1573427.0,0.8047845116769432,0.7672349553636822,0.6528475741168799
2023-09-12,328883.0,424852.0,120840939.0,136207264.0,1043757.0,1585516.0,0.7741119260354193,0.8871842473834582,0.6583074532202765
2023-09-13,844174.0,925189.0,317976008.0,297122836.0,1041112.0,1594221.0,0.9124341080579211,1.0701836731256833,0.653053748507892
2023-09-14,735526.0,805344.0,264354400.0,293806565.0,1064385.0,1607354.0,0.9133066118329558,0.8997566136753956,0.6621970020294222
2023-09-15,974699.0,1093496.0,332276700.0,381288335.0,1056599.0,1662570.0,0.8913603707741043,0.8714578168251593,0.6355215118761917
2023-09-18,766667.0,800306.0,261690409.0,262576009.0,1099609.0,1608126.0,0.9579673274972323,0.9966272623177848,0.6837828627856275
2023-09-19,603202.0,713329.0,220089450.0,232313227.0,1104637.0,1608667.0,0.8456154172899181,0.9473823459910012,0.6866784735436234
2023-09-20,546847.0,622391.0,188520920.0,194416159.0,1089860.0,1630360.0,0.8786229235319919,0.9696772170054033,0.668478127530116
2023-09-21,904353.0,955545.0,336771769.0,258691770.0,1047378.0,1680687.0,0.9464263849426243,1.301826374298649,0.6231844477883152
2023-09-22,1399913.0,1627890.0,440140249.0,520554692.0,1123030.0,1512357.0,0.8599555252504776,0.8455216248439847,0.7425693801132933
2023-09-25,689787.0,818944.0,211420412.0,221247606.0,1049954.0,1497665.0,0.8422883615973742,0.9555828233458942,0.7010606510801815
2023-09-26,636102.0,715498.0,231524494.0,193150952.0,1009176.0,1531235.0,0.8890339316112693,1.1986712548017884,0.6590601703853426
2023-09-27,850699.0,1035925.0,300300028.0,320015950.0,978820.0,1470714.0,0.8211974805125853,0.9383908145828357,0.6655406829607932
2023-09-28,535366.0,663564.0,202515477.0,245366456.0,716949.0,943323.0,0.8068038651885877,0.8253592618218359,0.7600249331353099
2023-10-09,756252.0,1047711.0,277445431.0,308143889.0,783755.0,1096348.0,0.7218135535467318,0.9003762232649696,0.7148779402160628
2023-10-10,597926.0,737017.0,222251613.0,226478129.0,814906.0,1203396.0,0.8112784372680685,0.9813380832018442,0.6771719367523242
2023-10-11,579654.0,671360.0,204843483.0,205136728.0,837066.0,1208443.0,0.8634026453765491,0.9985704900197102,0.692681409052806
2023-10-12,704679.0,870922.0,232955745.0,296911168.0,885080.0,1176975.0,0.8091183825876485,0.7845974490255617,0.7519955818942629
2023-10-13,576513.0,658085.0,213799441.0,187500342.0,864260.0,1266586.0,0.876046407378986,1.140261605496165,0.6823539814904002
2023-10-16,676246.0,863336.0,248054015.0,215194401.0,866488.0,1358514.0,0.7832941056552721,1.152697346433284,0.6378204420418192
2023-10-17,521747.0,651192.0,177793720.0,190177426.0,901119.0,1386205.0,0.8012183810611924,0.93488340724519,0.6500618595373701
2023-10-18,615606.0,774322.0,213306353.0,191965731.0,915510.0,1440237.0,0.7950258419623878,1.1111689148309496,0.6356662132690661
2023-10-19,1589919.0,1778053.0,768751308.0,389247472.0,884815.0,1627569.0,0.8941910055549526,1.9749680172617794,0.5436420821482837
2023-10-20,1242158.0,1242019.0,577364930.0,291697826.0,878798.0,1682405.0,1.0001119145520319,1.979325447560929,0.5223462840398121
2023-10-23,1207317.0,1472024.0,585797811.0,335166755.0,883538.0,1770132.0,0.8201748069324957,1.7477801788545526,0.49913678753900836
2023-10-24,1184132.0,1308145.0,563756522.0,340232007.0,908311.0,1794349.0,0.9051993471671719,1.6569767405804356,0.5062064291840662
2023-10-25,980891.0,1282991.0,452508084.0,372913662.0,908785.0,1769431.0,0.7645345914351699,1.2134392759254822,0.5136029604997313
2023-10-26,595327.0,747856.0,260698976.0,264974585.0,810790.0,1205218.0,0.7960449605271603,0.9838640788889244,0.6727330657192309
2023-10-27,887794.0,1047280.0,342102540.0,399777516.0,855261.0,1163806.0,0.8477140783744558,0.8557323168719674,0.7348827897433078
2023-10-30,549422.0,701685.0,221359931.0,255533281.0,892150.0,1228060.0,0.7830037694977091,0.8662665392693016,0.726471019331303
2023-10-31,457847.0,537984.0,194499546.0,201359906.0,914389.0,1283714.0,0.8510420384249345,0.9659298609326923,0.7122996243711606
2023-11-01,499870.0,670486.0,188370375.0,258924736.0,916735.0,1290522.0,0.7455338366498331,0.7275101556925021,0.7103598388869
2023-11-02,501213.0,567153.0,174505127.0,207221758.0,932011.0,1279414.0,0.8837350767782238,0.8421177808944175,0.7284670950919718
2023-11-03,520330.0,673344.0,166951492.0,256371543.0,945264.0,1264096.0,0.7727550850679593,0.6512091398537161,0.7477786497228058
2023-11-06,618942.0,884631.0,191882767.0,326437579.0,983838.0,1241424.0,0.6996612146759497,0.5878084489776222,0.7925076363917566
2023-11-07,484583.0,570659.0,174131757.0,198085160.0,1002609.0,1289875.0,0.8491638614303814,0.8790752270387141,0.7772915980230642
2023-11-08,617788.0,697044.0,231582441.0,218543198.0,1006726.0,1350662.0,0.8862969912946672,1.0596643735395508,0.7453574617483871
2023-11-09,553625.0,601791.0,193085508.0,189707974.0,1035773.0,1375589.0,0.919962246028937,1.0178038588931428,0.7529669109014393
2023-11-10,653235.0,737535.0,250300323.0,195492091.0,989150.0,1455899.0,0.8857003396448982,1.2803603548339968,0.6794083930272635
2023-11-13,597429.0,706914.0,232771811.0,187643312.0,975163.0,1497179.0,0.8451226033152548,1.2405015053241013,0.6513336080722478
2023-11-14,588164.0,684809.0,219483312.0,196993948.0,990219.0,1528597.0,0.8588730580351601,1.1141627152931621,0.6477959854690282
2023-11-15,671372.0,938473.0,225895093.0,288755775.0,1025527.0,1486995.0,0.7153876563310825,0.7823050222978224,0.6896640540149765
2023-11-16,710808.0,949753.0,258492955.0,239490390.0,989535.0,1495473.0,0.7484135348874918,1.0793458351293344,0.661686971279321
2023-11-17,872683.0,983896.0,342912389.0,237189890.0,940827.0,1499223.0,0.8869667119289031,1.445729364771829,0.627543067308866
2023-11-20,823803.0,973413.0,320405371.0,269319558.0,953761.0,1504533.0,0.8463036758292729,1.189684749891057,0.6339249454814219
2023-11-21,928602.0,1238049.0,319991403.0,379980241.0,955415.0,1435016.0,0.7500527038913646,0.8421264278318092,0.6657870016780301
2023-11-22,713971.0,827738.0,327560584.0,239085455.0,900244.0,1513523.0,0.862556751049245,1.3700565097111408,0.5948003433049911
2023-11-23,569999.0,707855.0,230675916.0,256899613.0,709485.0,1018211.0,0.8052482499947023,0.8979223958581829,0.6967956543388355
2023-11-24,413788.0,508748.0,176592114.0,179213179.0,730806.0,1078876.0,0.8133457035703334,0.9853745968090885,0.6773771962672263
2023-11-27,789544.0,888432.0,364052955.74,280721415.24,770906.0,1193123.0,0.8886937886073442,1.296847821277748,0.6461244984800394
2023-11-28,452269.0,513820.0,203968037.76999998,178541727.07,810428.0,1246111.0,0.8802090226149235,1.142411026919389,0.6503658181333766
2023-11-29,567124.0,691253.0,251205399.51000002,213937313.17000002,830944.0,1321617.0,0.8204289890966115,1.17420096470215,0.628732832583116
2023-11-30,451828.0,593234.0,185003087.97,193559314.95999998,850913.0,1347765.0,0.7616353749110806,0.955795323042096,0.6313511628510905
2023-12-01,851268.0,955235.0,370195643.38,302660606.12,857606.0,1439942.0,0.8911608138311515,1.2231378510925979,0.5955837110105824
2023-12-04,521263.0,638032.0,231129529.33999997,198758818.24,879454.0,1512521.0,0.8169856684304235,1.1628642763457797,0.5814491170701102
2023-12-05,1106455.0,1207177.0,570688283.53,312921875.52,882418.0,1598408.0,0.9165640167100599,1.8237404546475218,0.5520605502474962
2023-12-06,992716.0,998053.0,470287470.96000004,277061339.54,910475.0,1639729.0,0.9946525885899847,1.697412824686439,0.555259436162927
2023-12-07,989355.0,958778.0,449498443.1,251816149.69,928376.0,1677015.0,1.0318916370630116,1.7850262727523956,0.5535883698118383
2023-12-08,595253.0,643415.0,243272695.35999998,192141995.66,957303.0,1690174.0,0.9251462897196988,1.2661089238943735,0.5663931642540946
2023-12-11,1150721.0,1450997.0,526953261.54999995,416274364.64,988962.0,1708864.0,0.7930553957037816,1.2658796849181828,0.5787248136773904
2023-12-12,564673.0,755191.0,213113319.74,244409055.81,1021267.0,1712950.0,0.7477220994423928,0.8719534512897557,0.5962036253247321
2023-12-13,828285.0,982357.0,351282353.26,255576374.87,979405.0,1836222.0,0.8431608875388479,1.3744711475725455,0.5333804953867234
2023-12-14,982501.0,932685.0,432313955.28,249342215.42000002,982310.0,1851214.0,1.0534113875531397,1.7338177354035156,0.5306301702558429
2023-12-15,1210574.0,1278649.0,503447702.69,356374262.03999996,994758.0,1888939.0,0.9467602133189015,1.4126937781873043,0.5266226172470365
2023-12-18,886109.0,953298.0,382661854.79999995,273091737.16,1031248.0,1912506.0,0.92951941575457,1.401220918580208,0.5392129488744087
2023-12-19,764585.0,888570.0,307126840.82,246882270.36,1038892.0,1942501.0,0.8604668174707676,1.2440214535136616,0.534821861095567
2023-12-20,717868.0,864198.0,312481597.03,252220674.84,1035777.0,1962012.0,0.8306753776333664,1.238921421601252,0.5279157314022545
2023-12-21,1109523.0,1193426.0,461239971.95000005,365765883.17999995,1082669.0,1889775.0,0.9296956828492089,1.2610251342742527,0.5729089441864772
2023-12-22,1069835.0,1416014.0,446697464.32000005,439790577.35,1071240.0,1830658.0,0.7555257222033116,1.015704945321062,0.5851666449986835
